tipo_contexto;id_sede;id_uo;departamento;puesto
SEDE_CENTRAL;1;;ASESORIA LEGAL;ASESOR LEGAL EXTERNO
UNIDAD_OPERATIVA;;1;;ATENCIÓN AL CLIENTE
SEDE_CENTRAL;2;;ASESORIA LEGAL;ASESOR LEGAL INTERNO
SEDE_CENTRAL;3;;ASESORIA LEGAL;ASISTENTE LEGAL
UNIDAD_OPERATIVA;;2;;CATASTRO COMERCIAL
SEDE_CENTRAL;4;;CONTABILIDAD;ASISTENTE CONTABLE 01
UNIDAD_OPERATIVA;;3;;RECAUDACION
SEDE_CENTRAL;5;;CONTABILIDAD;ASISTENTE CONTABLE 02
UNIDAD_OPERATIVA;;4;;INTERIORES
SEDE_CENTRAL;6;;CONTABILIDAD;ASISTENTE CONTABLE 03
UNIDAD_OPERATIVA;;5;;CUARTO DE BOMBAS
SEDE_CENTRAL;7;;CONTABILIDAD;JEFE DE CONTABILIDAD
UNIDAD_OPERATIVA;;6;;CUARTO DE BOMBAS
SEDE_CENTRAL;8;;DIRECTORIO;DIRECTORIO
UNIDAD_OPERATIVA;;7;;CUARTO DE CLORACION
SEDE_CENTRAL;9;;GAF;ASISTENTE GAF
UNIDAD_OPERATIVA;;8;;CUARTO DE DOSIFICACION
SEDE_CENTRAL;10;;GAF;GAF
UNIDAD_OPERATIVA;;9;;CUARTO DE MAQUINAS
SEDE_CENTRAL;11;;GERENCIA COMERCIAL;APOYO - VMA
UNIDAD_OPERATIVA;;10;;CUARTO DE MOTORES
SEDE_CENTRAL;12;;GERENCIA COMERCIAL;APOYO CATASTRO COMERCIAL
UNIDAD_OPERATIVA;;11;;EXTERIORES
SEDE_CENTRAL;13;;GERENCIA COMERCIAL;ASISTENTE DE GERENCIA COMERCIAL
UNIDAD_OPERATIVA;;12;;GUARDIANIA
SEDE_CENTRAL;14;;GERENCIA COMERCIAL;GERENTE COMERCIAL
UNIDAD_OPERATIVA;;13;;LABORATORIO
SEDE_CENTRAL;15;;GERENCIA COMERCIAL;JEFE DE AT. AL CLIENTE Y COBRANZA
UNIDAD_OPERATIVA;;14;;CUARTO DE VALVULAS
SEDE_CENTRAL;16;;GERENCIA COMERCIAL;JEFE DE FACTURACIÓN
UNIDAD_OPERATIVA;;15;;ALMACEN OPERACIONAL
SEDE_CENTRAL;17;;GERENCIA GENERAL;EXTERIORES
